sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchCCat015,OchCCat015.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat016,OchCCat016.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat017,OchCCat017.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat018,OchCCat018.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat019,OchCCat019.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat020,OchCCat020.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999999999999,-1.1102230246251565e-16
OchCCat021,OchCCat021.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat022,OchCCat022.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat023,OchCCat023.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat024,OchCCat024.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat025,OchCCat025.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat028,OchCCat028.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat029,OchCCat029.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat031,OchCCat031.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat035,OchCCat035.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat036,OchCCat036.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat037,OchCCat037.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat038,OchCCat038.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat047,OchCCat047.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat051,OchCCat051.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat059,OchCCat059.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat063,OchCCat063.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat065,OchCCat065.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
